hostname,st_teff,st_lum,st_mass,st_rad,st_logg,st_met,st_age,sy_dist_log,sy_pm,sy_snum,sy_gaiamag,st_spectype_group,sy_pnum,hz_pnum,has_hz_planet,st_logg_filled
TOI-1180,4804.0,-0.57675,0.7795,0.7425,4.587,0.067,5.0,1.857476031163214,106.4725797,1,10.7445,,1,0,0,False
TOI-1467,3776.0,-1.42022,0.4518,0.4565,4.773,-0.062,13.4,1.573356719106571,184.3036753,1,11.5622,,1,0,0,False
TOI-1744,6179.0,0.23178,1.181,1.13948,4.3969,,,2.058388059993333,18.7705586,1,9.3918,,1,0,0,False
TOI-1772,5583.1,-0.06194,0.99,0.995254,4.43783,0.1282,,1.9901443112382233,43.7999672,1,9.80056,,1,0,0,False
K2-390,5558.0,-0.0974817274363136,0.789,0.966,4.368,-0.116,,2.6590810199457815,40.4321139,1,13.3434,,1,0,0,False
K2-389,5422.2,0.10644,0.94,1.28092,4.19615,-0.22,,2.4136484011423818,76.0914368,1,11.5697,,2,0,0,False
TOI-1630,5427.0,-0.26764,0.95,0.831212,4.57637,,,1.8201548081023287,34.7768648,1,9.48188,,1,0,0,False
TOI-907,6224.0,0.75862,1.2,2.05979,3.8896,,,2.494890322338093,37.8618437,1,10.3273,,1,0,0,False
TOI-5726,5874.0,0.11832,1.064,1.10649,4.37711,,,2.036820453616492,67.0586154,1,9.58034,,1,0,0,False
TOI-2095,3759.0,-1.45892,0.44,0.44,5.11,-0.24,1.0,1.6223964090759868,204.5538405,1,12.094,M,2,1,1,False
TOI-5388,3495.0,-1.88047,0.291486,0.312985,4.91164,,,1.2677019481342136,234.0754407,1,11.7284,,1,0,0,False
K2-381,4575.0,-0.73923,0.722,0.679607,4.63209,,,2.163462532504318,37.6436184,1,12.6373,,3,0,0,False
TOI-2211,5253.0,-0.32094,0.9,0.834386,4.54958,,,1.8469133144178995,142.2549383,1,9.77392,,1,0,0,False
TOI-5799,3514.0,-1.82974,0.337,0.328,4.932,-0.08,7.0,1.4442369052972788,301.977276,1,12.3212,,1,0,0,False
TOI-913,4969.0,-0.53057,0.82,0.732535,4.62222,,,1.8140937003311715,92.5151407,1,10.1919,,1,0,0,False
TOI-1244,4722.0,-0.62893,0.7528,0.7231,4.595,0.034,5.9,2.0109398996372416,87.2029276,1,11.6765,,1,0,0,False
K2-403,5511.0,-0.18732106215672809,0.784,0.886,4.439,-0.162,,2.3919913111268563,34.8555029,1,12.152,,1,0,0,False
HD 135694,5698.0,0.03941,0.913,1.0726,4.335,-0.121,9.8,1.8684757418781497,205.3954261,1,8.91307,,1,0,0,False
TOI-1739,4922.0,-0.52433,0.79,0.751,4.584,0.07,6.3,1.851147620095708,171.1521521,1,10.4185,,1,0,0,False
TOI-1777,5859.45,0.01189,1.06,0.983752,4.4776,,,1.9018205364659946,22.1192429,1,9.15437,,1,0,0,False
TOI-1798,5106.0,-0.41567,0.8543,0.7911,4.572,0.073,2.6,2.053773526784,38.5121225,1,11.067,,2,0,0,False
TOI-1799,5698.0,-0.06198,0.9406,0.9536,4.45,-0.064,5.1,1.7932831789908694,41.8215786,1,8.81013,,1,0,0,False
TOI-2384,3943.0,-1.0912942501602594,0.635,0.6113,4.66,0.332,9.4,2.282191456275556,53.3426709,1,14.3985,,1,0,0,False
TOI-4638,5700.0,-0.11858,1.015,0.894563,4.54131,,,2.225949910375204,14.3398811,1,11.2097,,1,0,0,False
GJ 1002,3024.0,-2.85201,0.12,0.137,5.1,-0.25,,0.6856226270819105,2059.5072713,1,11.7804,M,2,2,1,False
TOI-1759,4065.0,-1.05715,0.606,0.597,4.65,0.05,5.0,1.602769482954393,173.7850455,1,10.8385,M,1,0,0,False
HIP 9618,5649.0,-0.0716,0.942,0.9593,4.445,-0.018,5.6,1.8296112088218648,191.8826949,1,9.02543,,2,0,0,False
K2-367,4462.0,-0.85399,0.699,0.626036,4.68935,,,2.2478873804300554,43.2579663,1,13.3983,,1,0,0,False
TOI-2570,5771.0,0.07882,1.063,1.095,4.385,0.191,4.4,2.558536978321665,17.1005512,1,12.4599,,1,0,0,False
K2-409,5644.0,0.17248,1.0,1.27561,4.22663,,,2.63450850599551,25.7210493,1,12.6144,,1,0,0,False
K2-401,4213.0,-0.8901367678632717,0.87,0.675,4.719,-0.098,,2.3026057938245112,79.7182415,1,13.6941,,1,0,0,False
TOI-5803,5134.0,-0.43899,0.87,0.76251,4.6131,,,1.9243444253488429,57.512972,1,10.4782,,1,0,0,False
TOI-1859,6341.0,0.42859867945556857,1.287,1.36,4.285,0.12,1.41,2.3509938212340074,17.1660965,1,10.2843,,1,0,0,False
K2-377,4314.0,-0.81809,0.674,0.697984,4.57904,,,2.2903663301722528,97.3624008,1,13.5859,,1,0,0,False
K2-393,5678.0,0.02925034439035229,0.881,1.071,4.321,0.076,,2.4247412029302464,21.7518329,1,11.7768,,1,0,0,False
TOI-2589,5579.0,-0.00436,0.93,1.07,4.35,0.12,11.0,2.3016224034054154,20.7268348,1,11.1958,,1,0,0,False
TOI-836,4552.0,-0.7686578458784443,0.678,0.665,4.743,-0.284,5.4,1.4393705942403259,201.5182743,1,9.40475,K,2,0,0,False
TOI-757,5278.0,-0.37675,0.8,0.78,4.5,-0.27,7.5,1.7806182610661452,117.406487,1,9.55369,K,1,0,0,False
TOI-1294,5718.0,0.36847,1.1578,1.5566,4.119,0.283,6.2,2.5219849166545316,19.2397323,1,11.3998,,2,0,0,False
TOI-1451,5801.0,0.02449,1.0022,1.0162,4.424,0.019,4.0,1.9634865490864999,27.4714182,1,9.42861,,1,0,0,False
HIP 8152,5618.0,-0.0804,0.9373,0.9603,4.443,0.007,6.0,2.0072953300735734,140.8438618,1,9.90726,,2,0,0,False
K2-382,5390.0,-0.27952,0.936,0.831219,4.56991,,,2.444687950124834,8.3120936,1,12.7667,,1,0,0,False
HD 110537,5718.0,0.11726,1.02,1.16626,4.31308,0.09,,1.6540397801772495,283.5606185,1,7.66105,,1,0,0,False
K2-370,5377.0,-0.15051154430822625,0.984,0.971,4.454,0.018,,2.158971283843468,43.4217143,1,10.8824,G,1,0,0,False
K2-408,5265.7,-0.33037,0.902,0.821397,4.56417,-1.05,,2.2103345747783383,96.211542,1,11.7345,,1,0,0,False
K2-380,5572.0,0.20189,0.98,1.35386,4.16615,,,2.396727504639379,30.0368169,1,11.4419,,1,0,0,False
WASP-132,4714.0,-0.59688,0.782,0.753,4.576,0.18,3.2,2.0895872186728046,74.2782343,1,11.7538,K,3,0,0,False
TOI-2010,5929.0,0.11361,1.112,1.079,4.417,0.168,1.9,2.03818286599066,42.0137269,1,9.69568,F,1,0,0,False
TOI-5082,5670.0,-0.08961,1.01,0.934718,4.50103,0.09,,1.6348861809815722,121.4095669,1,8.08646,,1,0,0,False
TOI-5786,6235.0,0.39931349796596816,1.23,1.36,4.26,0.08,2.5,2.284374328300976,0.9460141,2,10.1378,,1,0,0,False
KOI-7368,4823.55,-0.31552,0.782,0.995767,4.33496,0.0578,,2.423237679623995,3.5473104,1,12.8094,,1,0,0,False
KOI-7913 A,4324.0,-0.710514973928511,0.76,0.788,4.523,-0.06,0.036,2.433412974017708,2.6833047,2,14.2239,K,1,0,0,False
TOI-4633,5490.04,0.31136,0.96,1.5819,4.02198,0.2379,,1.9786442473900612,70.8738223,2,8.81983,,1,1,1,False
TOI-6034,3635.0,-1.4034,0.514,0.489,4.77,-0.09,7.8,2.0718525626143007,5.5947293,2,14.3143,,1,0,0,False
HD 29399,4845.0,1.00173,1.17,4.5,3.25,0.14,6.2,1.6449484137829475,119.1088447,1,5.50503,K,1,0,0,False
TOI-1268,5257.0,-0.2951613394718763,0.9,0.86,4.52,0.17,0.39,2.039640131456294,68.7177569,1,10.692,K,1,0,0,False
TOI-1470,3709.0,-1.42481,0.471,0.469,4.77,0.0,1.3,1.7155880598425395,73.832396,1,12.5555,M,2,0,0,False
HD 112300,3657.0,2.70121,1.4,65.8,0.8,-0.06,,1.7929044145878712,471.3615569,1,2.36431,M,1,0,0,False
TOI-782,3370.0,-1.70246,0.397,0.413,4.804,0.34,,1.7202602134469436,167.8089619,1,13.5645,,1,0,0,False
TOI-1448,3412.0,-1.75498,0.372,0.38,4.849,0.37,,1.8653083352779785,66.6593216,1,14.4005,,1,0,0,False
TOI-2120,3131.0,-2.28651,0.211,0.245,4.985,0.39,,1.5075253044669832,374.516055,1,14.1872,,1,0,0,False
HD 20329,5596.0,0.04922,0.9,1.13,4.4,-0.07,11.0,1.8040003267406308,231.1242141,1,8.59089,,1,0,0,False
HD 105618,5671.0,0.17967,1.01,1.27399,4.23206,,,1.8456170219152357,104.6313648,1,8.46692,,2,0,0,False
HIP 8541,4670.0,1.40483,1.17,7.83,2.7,-0.15,,2.190670595793973,119.9282946,2,7.56075,K,2,0,0,False
LHS 3154,2861.0,-2.72125,0.1118,0.1405,5.193089155068208,,5.0,1.1975727468926896,734.5185758,1,14.8561,M,1,0,0,True
TOI-733,5585.0,-0.08619,0.956,0.949,4.47,-0.04,4.4,1.8762709691135477,33.6594008,1,9.28881,G,1,0,0,False
TOI-4527,3702.0,-1.39838,0.483997,0.485948,4.74973,,,1.2577673442263848,640.3799054,1,10.1927,,1,0,0,False
TOI-833,3920.0,-1.11104,0.590802,0.603336,4.64839,,,1.620290165716686,176.2913728,1,11.075,,1,0,0,False
TOI-1227,3072.0,-2.60033,0.17,0.56,4.174072867365873,,0.011,2.0027749434064823,41.6482944,1,15.2514,M,1,0,0,True
TOI-500,4440.0,-0.7951188818401065,0.74,0.678,4.618,0.12,5.0,1.6757087023766406,199.5756794,1,10.1026,K,4,0,0,False
HD 28109,6120.0,0.420232124466556,1.26,1.446,4.13,0.0,1.1,2.1449196378508657,24.36023,1,9.29976,F,3,0,0,False
TOI-871,4929.0,-0.56004,0.758,0.719,4.604,-0.07,5.9,1.8328108978220263,145.292372,1,10.3452,,1,0,0,False
TOI-4559,3558.0,-1.6925,0.392,0.374,4.884,-0.09,7.0,1.500173330076802,248.9391439,1,12.0797,,1,0,0,False
ZTF J1230-2655,10000.0,-2.867299927153917,0.646,0.0123,8.07,,,2.271121055704133,42.887816,1,18.8866,,1,0,0,False
ZTF J1828+2308,15900.0,-2.0069790614393783,0.61,0.0131,8.05,,,2.3049792648079266,20.7444485,1,18.0258,,1,0,0,False
BD+05 4868 A,4596.0,-0.7167,0.7,0.69,4.6,-0.05,11.1,1.63917460167894,231.4652001,2,9.84152,K,1,0,0,False
TOI-1710,5730.0,-0.04818,0.99,0.95,4.54,0.12,2.8,1.9097009481687284,81.6878528,2,9.35983,G,1,0,0,False
TOI-3785,3576.0,-1.43533,0.52,0.5,4.747,0.099,8.0,1.9018036579636692,46.160023,1,13.6559,M,1,0,0,False
TOI-2641,6100.0,0.34044,1.16,1.336,4.2,-0.15,10.8,2.5366152506341235,33.984865,1,11.5712,F,1,0,0,False
TOI-904,3770.2,-1.29243,0.557,0.527,4.742233964748636,0.022,1.5,1.663598227568001,114.5734091,1,11.8559,,2,1,1,True
TOI-5126,6150.0,0.29885,1.24,1.241,4.224,0.18,0.8,2.20524226829615,55.6142027,1,9.93629,F,2,0,0,False
TOI-4603,6264.0,1.01703,1.765,2.738,3.81,0.342,1.64,2.3534218651837606,23.0359324,1,9.07469,F,1,0,0,False
TOI-4582,5190.0,0.609439298705194,1.34,2.5,3.77,0.17,,2.584157019250594,20.1121773,1,11.0809,,1,0,0,False
TOI-1680,3225.0,-2.36251,0.1798,0.2106,5.046,0.04,,1.5707868701463905,142.9990315,1,14.6457,M,1,0,0,False
HD 74698,5783.0,0.25285,1.039,1.333,4.12,0.07,7.847,1.7165442044458445,122.5392979,1,7.60959,G,2,0,0,False
HD 167677,5480.36,-0.13215,0.96,0.95271,4.46242,-0.2833,,1.735006130446356,226.4631773,1,8.7114,,1,0,0,False
HD 165131,5870.0,0.08329,1.06,1.06419,4.40934,0.06,,1.759110835411443,138.8522705,1,8.26134,,1,1,1,False
HD 114082,6651.0,0.5832,1.47,1.49,4.19,0.0,0.015,1.9795055804769877,44.4325687,1,8.09394,F,1,0,0,False
HD 135625,6040.64,0.34446,1.12,1.35743,4.22185,0.12,,1.7521867850885524,97.1951146,1,7.56578,,1,0,0,False
HD 185283,4848.0,-0.56072,0.79,0.743303,4.59336,-0.06,,1.4968604873943676,172.3780028,1,8.71311,,1,0,0,False
HD 16905,4866.12,-0.51804,0.79,0.77494,4.55716,0.2405,,1.599228955612084,188.2810822,1,9.11324,,1,0,0,False
GJ 9404,3811.0,-1.0,0.55,0.73,4.453716969253333,,,1.3781052441569075,652.5197868,1,9.87021,M,1,0,0,True
TOI-5720,3325.0,-1.79183,0.383,0.383,5.01,0.03,5.0,1.554193472607612,362.1156297,1,12.8215,M,1,0,0,False
TOI-6008,3075.0,-2.32873,0.23,0.242,5.01,0.3,3.0,1.3636270201332465,164.546597,1,13.7122,M,1,0,0,False
TOI-6086,3200.0,-2.19791,0.254,0.259,5.01,0.11,2.0,1.497711779919972,110.6161899,1,13.6971,M,1,0,0,False
TOI-2184,5966.0,0.9804188418693751,1.53,2.9,3.7,0.14,2.3,2.8967008921934623,5.060704,1,11.8482,,1,0,0,False
TOI-4184,3238.0,-2.2644,0.2109,0.2347,5.01,-0.27,6.7,1.8411397645113503,183.6212286,1,15.5939,M,1,0,0,False
HD 36384,3940.0,2.58915,1.14,38.4,1.1,-0.16,0.113,2.320787902807404,27.2296245,1,5.48147,M,1,0,0,False
HD 6061,5934.0,0.05538,1.0269,1.0072,4.441,-0.05,2.4,1.8300770931978003,14.1470505,2,8.69933,,1,0,0,False
TIC 241249530,6166.0,0.40824,1.271,1.397,4.23,0.09,3.2,2.511145101374597,17.5874799,2,11.565,,1,0,0,False
TOI-2266,3244.0,-2.16716,0.233038,0.261162,4.97167,,,1.7126530682380532,60.72795,1,14.8319,,1,0,0,False
HN Lib,3347.0,-1.99542,0.291,0.299,4.76,-0.18,4.4,0.7954921060412482,691.3474089,1,9.87882,M,1,1,1,False
TOI-2019,5626.0,0.44075,1.1832,1.7457,4.025,0.409,6.4,2.296680543835451,48.0794013,1,10.0769,,1,0,0,False
WASP-193,6078.0,0.27416,1.059,1.239,4.284,-0.06,4.4,2.5588129326335967,49.0464419,1,12.0421,F,1,0,0,False
TOI-1823,4927.0,-0.46092,0.8414,0.8049,4.548,0.243,6.3,1.8551895240509282,139.3430918,1,10.3908,,1,0,0,False
TOI-128,6059.0,0.18874,1.13,1.12777,4.3867,,,1.8355174532066219,66.843427,1,8.37173,,1,0,0,False
TOI-261,5890.3,0.24978,1.069,1.28018,4.25251,-0.35,,2.0587865214372782,108.9371092,1,9.42329,,1,0,0,False
TOI-1806,3272.0,-1.77852,0.393258,0.401575,4.82521,,,1.7444580618992058,168.2044206,1,13.927,,1,0,0,False
TOI-4443,5834.0,0.03349,1.05,1.01733,4.44433,,,1.7487607627968544,57.0132128,1,8.33609,,1,0,0,False
TOI-4495,6156.0,0.36656,1.171,1.34071,4.25196,,,2.1212774445658575,28.0327201,1,9.3859,,1,0,0,False
TOI-4153,6860.0,0.71349,1.572,1.605,4.224,0.317,0.4,2.6272019409531557,18.3055521,1,11.5632,,1,0,0,False
TOI-5301,6170.0,0.81158,1.316,2.23,3.859,-0.02,3.78,2.798761794037489,7.9271463,1,11.5696,,1,0,0,False
HIP 19976,4316.0,-0.72939,0.67,0.772319,4.48855,,,1.6049891787381776,257.5796446,2,9.88841,,1,0,0,False
GJ 1151,3280.0,-2.47952,0.1639,0.1781,5.09,-0.12,,0.9050534387695476,1821.0445189,1,11.6938,M,1,0,0,False
TOI-2134,4580.0,-0.7167,0.744,0.709,4.8,0.12,3.8,1.3544964404883044,288.224734,1,8.5077,K,2,1,1,False
HD 151450,6091.98,0.23147,1.14,1.17184,4.35724,,,1.6394884814405393,119.5971622,1,7.28278,,2,0,0,False
HD 153557,4837.0,-0.56249,0.79,0.745171,4.59118,,,1.253851487534672,308.7663785,1,7.50548,,3,0,0,False
HD 155918,5752.0,0.049,1.63,1.07,4.61,-0.64,12.3,1.440294971094914,990.6211832,1,6.8406,G,2,0,0,False
HD 18143,5148.0,-0.26,0.9,0.87,4.51,0.28,9.4,1.3526513030534906,327.6550874,1,7.33209,K,2,0,0,False
HD 199509,5770.0,-0.081,0.96,0.92,4.51,-0.31,1.6,1.385706346392781,269.7829853,1,6.817,G,1,0,0,False
HD 205158,6133.55,0.65266,1.16,1.87741,3.95541,,,1.9375976223686788,35.2938404,1,7.71934,,1,0,0,False
HD 213519,5840.0,0.0895,1.05,1.08287,4.39011,0.01,,1.6127986860342283,178.1094753,1,7.51625,,1,0,0,False
HD 25912,5920.58,0.04058,1.08,0.995896,4.47506,0.12,,1.6916657601377474,169.3481005,1,8.02788,,2,0,0,False
HD 28192,5919.87,0.10347,1.08,1.07094,4.41196,,,1.6972842801530277,51.1357627,1,7.89874,,1,0,0,False
GJ 2030,5485.0,0.6123,0.96,2.24104,3.71944,-0.4,,1.569125670407428,219.5420718,1,6.02088,,2,0,0,False
HD 115404 A,5019.17,-0.5197,0.83,0.727007,4.63407,-0.1568,,1.0406656206739844,688.8917765,1,6.28558,,2,0,0,False
HD 89839,6315.73,0.37479,1.24,1.28588,4.31309,0.04,,1.7582023689976798,16.2003764,1,7.51304,,1,0,0,False
HD 108202,4556.03,-0.76721,0.72,0.66355,4.65165,0.3048,,1.5875381105980162,319.5815419,1,9.78272,,1,0,0,False
HD 62364,6255.0,0.43297,1.157,1.401,4.14,-0.11,3.901,1.725192655638864,123.682891,1,7.1814,F,2,0,0,False
TOI-4479,3400.0,-1.60432,0.452,0.451,4.5,0.0,,1.906621603154267,151.4452179,1,14.1309,M,1,0,0,False
HD 22946,6040.0,0.20370432235531397,1.104,1.157,4.26,-0.14,5.0,1.7978157771525038,122.0961548,1,8.1281,F,3,0,0,False
GJ 3222,5045.0,-0.252,0.86,0.98,4.43,,,1.260981259498252,65.667873,2,,K,1,0,0,False
GJ 680,3563.0,-1.51379,0.456466,0.45933,4.77323,,,0.9855679223610834,476.1883734,2,9.28322,,1,0,0,False
LHS 475,3289.0,-2.06449,0.274,0.286,4.964,,,1.096263301546242,1276.9225263,1,11.4174,,1,0,0,False
HIP 54597,4799.0,-0.68194,0.69,0.66,4.43,-0.22,6.9,1.5992595539677028,75.57022,1,9.4828,K,1,0,0,False
TOI-1411,4115.0,-1.01323,0.6045,0.614,4.64,0.012,9.6,1.5115866030746858,336.2326566,1,9.87723,,1,0,0,False
TOI-3688 A,5950.0,0.2833,1.199,1.302,4.288,0.262,3.3,2.598109542019731,22.0086006,2,12.3686,,1,0,0,False
TOI-1994,7700.0,1.22272,1.86,2.3,3.982,-0.01,0.94,2.71231543560079,13.6585266,1,10.428,,1,0,0,False
TOI-712,4622.0,-0.72793,0.732,0.674,4.645,-0.02,0.83,1.7680547043795258,31.1412951,1,10.5785,K,3,1,1,False
TOI-2158,5673.0,0.2665792095368557,1.12,1.41,4.19,0.47,8.0,2.297701434280159,44.6987693,1,10.6718,,1,0,0,False
TOI-4342,3883.0,-1.13498,0.586597,0.598175,4.65275,,,1.7890191505454553,151.1771245,1,11.9822,,2,0,0,False
LP 890-9,2850.0,-2.84134,0.118,0.1556,5.126,-0.028,7.2,1.5109442703145326,332.9022204,1,15.8213,M,2,1,1,False
TOI-1194,5394.0,-0.1512,0.9835,0.9608,4.463,0.348,4.9,2.1751260535308727,80.9695016,1,10.9887,,1,0,0,False
TOI-2194,4669.0,-0.68955,0.74,0.690927,4.62844,,,1.2916152360057032,410.6245709,1,8.06594,,1,0,0,False
TOI-669,5597.0,-0.06248,0.9245,0.9882,4.412,0.001,7.9,2.154931925271204,72.7485172,1,10.6364,,1,0,0,False
TOI-1472,5133.0,-0.35556,0.9154,0.8377,4.552,0.287,2.3,2.085789890327986,104.2406662,1,11.1107,,1,0,0,False
TOI-1694,5058.0,-0.41794,0.853,0.8036,4.558,0.131,4.3,2.0957967936048023,50.773836,1,11.3103,,2,0,0,False
HD 260655,3803.0,-1.43997,0.439,0.439,5.2,-0.43,5.0,1.0002387963020818,835.8253883,1,8.876041,M,2,0,0,False
TOI-1753,5621.0,-0.06956,0.9483,0.9715,4.438,0.026,5.9,2.3553959605958354,12.647367,1,11.664,,1,0,0,False
TOI-1801,3863.0,-1.23003,0.556,0.547,4.78,-0.19,0.7,1.4868496929912451,209.1584457,2,10.8269,M,1,0,0,False
TOI-2128,5968.0,0.15625,1.0251,1.1174,4.349,-0.07,4.7,1.5632199555769868,167.400318,1,7.06642,,1,0,0,False
HIP 113103,4930.0,-0.5349146623657384,0.761,0.742,4.6,-0.1,0.47,1.6647566442407797,27.6376021,1,9.61752,,2,0,0,False
TOI-1249,5497.0,-0.10127,1.0062,0.9785,4.457,0.297,4.0,2.144543074272788,48.6154808,1,10.6987,,1,0,0,False
DMPP-4,6400.0,0.45939,1.25,1.38,4.24,-0.007,2.15,1.4036077561893574,190.9793309,1,5.60037,F,1,0,0,False
HD 6860,3802.0,3.22398,2.49,86.4,0.541,-0.03,,1.7862166695692099,208.614477,1,,M,1,0,0,False
TOI-1420,5510.0,-0.15181,0.987,0.923,4.502,0.28,10.7,2.3051750358937477,55.5082605,1,11.738,,1,0,0,False
TOI-1422,5811.0,0.03302,0.9903,1.0235,4.412,-0.028,4.6,2.1907265864705634,74.356965,1,10.5521,,1,0,0,False
TOI-4515,5433.0,-0.23582,0.949,0.86,4.48,0.05,1.2,2.2866787249332035,5.4661183,1,11.8121,G,1,0,0,False
TOI-2373,5651.0,0.05115,1.041,1.102,4.371,0.3,5.9,2.7064497851909888,40.7690492,1,13.0711,,1,0,0,False
TOI-6029,6223.0,0.79934,1.548,2.338,3.886,0.37,2.31,2.7804030102238633,4.0743083,1,12.2681,,1,0,0,False
TOI-2447,5730.0,-0.009295700723335602,1.034,1.006,4.3,0.18,2.1,2.1731483752943306,31.566628,1,10.4403,,1,0,0,False
TOI-2416,5808.0,0.197,1.118,1.236,4.303,0.32,4.9,2.7464263416296357,13.3430768,1,12.8909,,1,0,0,False
TOI-2207,6101.0,0.4843,1.296,1.564,4.161,0.181,3.3,2.5721103394410254,30.2899863,1,11.3545,,1,0,0,False
TOI-277,4031.0,-1.5080418163541764,0.16,0.362,4.58,-0.01,,1.8106974884755764,274.6155931,1,12.7896,,1,0,0,False
TOI-1820,5778.19,0.29432,1.036,1.40032,4.16097,0.018,,2.395333383668733,60.8776166,1,10.9653,,1,0,0,False
TOI-2421,5607.0,0.436,1.131,1.75,4.005,0.19,7.5,2.51577717595045,29.1431094,1,11.1554,,1,0,0,False
GJ 724,3799.0,-1.2909,0.5271,0.52226,4.88,-0.02,,1.2295743430494512,677.8415697,1,9.76915,M,1,0,0,False
GJ 3988,3273.0,-2.39513,0.1842,0.19734,4.92,-0.12,,0.9960955658639992,622.715912,1,11.9925,M,1,0,0,False
HD 134606,5648.0,0.072,1.06,1.12,4.37,0.29,9.12,1.4279873033233406,242.3733124,1,6.67835,G,5,1,1,False
HD 94771,5631.0,0.51587,1.2,1.903,3.94,0.22,5.733,1.761782798918629,48.355817,1,7.17929,G,1,1,1,False
TOI-2025,5977.0,0.38739,1.199,1.459,4.187,0.15,4.5,2.5263198888105465,5.3130123,1,11.3637,,1,0,0,False
TOI-2545,5846.29,0.21828,1.055,1.25324,4.26525,-0.2729,,2.0298624553681006,18.6761292,1,9.2949,,1,0,0,False
Gaia-2,5720.0,0.0574,1.02,1.08783,4.37355,,,2.32062187936879,25.003903,1,11.1968,,1,0,0,False
TOI-2427,4072.0,-0.94244,0.64,0.678916,4.58062,,,1.4550688067810247,156.0414932,1,9.81845,,1,0,0,False
TOI-2583 A,5936.0,0.38828,1.215,1.477,4.184,0.158,4.4,2.752961427576405,9.173251,2,12.4592,,1,0,0,False
TOI-969,4249.11,-0.70042,0.66,0.823845,4.42592,0.086,,1.88792884548507,85.0905897,1,11.2667,,2,0,0,False
TOI-1052,5958.2,0.38373,1.09,1.45977,4.14692,-0.25,,2.1132880757552686,63.3565826,1,9.39972,,2,0,0,False
TOI-2196,5634.0,-0.00436,1.032,1.043,4.42,0.14,4.5,2.414884809686644,25.8220941,1,11.8259,G,1,0,0,False
TOI-332,5251.0,-0.2871035716472477,0.88,0.87,4.46,0.256,5.0,2.3480165360442107,51.8390004,1,12.063,K,1,0,0,False
TOI-2000,5611.0,0.05956,1.082,1.134,4.363,0.439,5.3,2.244803893649013,74.3934644,1,10.8542,,2,0,0,False
TOI-2364,5306.0,-0.25181,0.954,0.886,4.524,0.344,3.5,2.3416600221575807,19.7314011,1,12.0921,,1,0,0,False
TOI-2587 A,5760.0,0.47129,1.15,1.726,4.024,0.13,6.7,2.572494043192868,33.5609786,2,11.4079,,1,0,0,False
TOI-198,3650.0,-1.509061513271137,0.467,0.441,4.75,-0.7,5.3,1.3752281869665115,698.0992388,1,10.9187,M,1,0,0,False
HD 207496,4819.0,-0.5434297652250165,0.8,0.769,4.507,0.095,0.52,1.3730224027881575,292.2203092,1,7.97255,K,1,0,0,False
TOI-1064,4734.0,-0.62342,0.748,0.726,4.6,0.05,9.4,1.8329723385888603,100.9502198,1,10.6491,,2,0,0,False
TOI-444,5225.0,-0.39169005555521713,0.96,0.779,4.64,0.08,0.57,1.758891463431415,119.2588498,1,9.6063,K,1,0,0,False
TOI-715,3075.0,-2.3353071861637584,0.225,0.24,5.0,-0.25,6.2,1.6274150192230403,83.2357377,1,14.894,M,1,1,1,False
HD 56414,8500.0,1.15806,1.89,1.751,4.229889512006352,0.0,0.42,2.434915243481763,35.0449149,1,9.20475,,1,0,0,True
TOI-1199,5710.0,0.30428,1.23,1.45,4.19,0.44,4.2,2.3951987948611353,33.5911969,1,10.8853,,1,0,0,False
TOI-4551,4896.0,0.80277,1.31,3.55,3.48,0.23,4.92,2.334425601522245,37.6236489,1,9.641,,1,0,0,False
TOI-1860,5752.0,-0.06157893333401056,0.99,0.94,4.58,0.04,0.133,1.6614719287666189,164.9040813,1,8.23223,G,1,0,0,False
HD 188641,5897.32,0.61512,1.07,1.94492,3.88965,-0.08,,1.8084803815662316,40.0143693,1,7.17761,,1,0,0,False
HD 11112,5905.64,0.37657,1.07,1.47368,4.13064,0.1869,,1.6471912122044596,440.43742,1,6.96653,,1,0,0,False
HD 125271,4703.93,-0.60376,0.75,0.751364,4.56143,-0.22,,1.5949072102647321,227.6955822,1,9.35594,,1,0,0,False
HD 136118,6182.43,0.56868,1.18,1.67754,4.0606,-0.042,,1.7112663433076742,125.780865,1,6.79664,,1,1,1,False
HD 168863,4905.0,-0.50098,0.8,0.777826,4.55939,0.16,,1.6009500374809005,261.6089412,1,9.06821,,1,0,0,False
HD 194490,5861.32,0.1474,1.06,1.14911,4.34265,0.08,,1.904363315672263,142.9107381,1,8.82731,,1,0,0,False
HD 29985,4678.0,-0.84623,0.75,0.574666,4.7943,-0.22,,1.4951376031084496,295.521308,1,9.47227,,1,0,0,False
HD 457,6114.04,0.31574,1.15,1.28194,4.28303,0.34,,1.7406586984675823,114.4880167,1,7.57794,,1,0,0,False
HD 62549,5930.46,0.22846,1.08,1.23227,4.29008,,,1.693115517370523,193.3686841,1,7.56542,,1,0,0,False
HD 80883,5177.91,-0.36654,0.88,0.814842,4.5604,-0.2638,,1.5390899056233078,116.2489748,1,8.3618,,1,0,0,False
HD 97037,5874.1,0.23365,1.06,1.26356,4.26018,-0.0773,,1.5107192292163927,294.911054,1,6.64346,,1,0,0,False
TOI-3807,5772.0,0.33244,1.181,1.468,4.174,0.278,5.6,2.6250499425112364,1.4614542,1,12.0338,,1,0,0,False
TOI-3321,5850.0,0.40483,1.041,1.549,4.076,-0.103,8.1,2.4562065600750307,1.96379,1,11.0932,,1,0,0,False
